arquivo;marca;produtos_no_catalogo
dryko.png;Dryko;20
coral.png;Coral;8
sika.png;Sika;8
viapol.png;Viapol;4
outras.png;Outras marcas;3
aditivmais.png;AditivMais;3
ciplak.png;Ciplak;2
d-plastic.png;D-Plastic;2
pulvitec.png;Pulvitec;2
votomassa.png;Votomassa;2
alabastine.png;Alabastine;1
amazonas.png;Amazonas;1
brascola.png;Brascola;1
kimanta.png;Kimanta;1
lar.png;Lar;1
neosin.png;Neosin;1
tecryl.png;Tecryl;1
tekbond.png;Tekbond;1
tytan.png;Tytan;1
unipega.png;Unipega;1
vedacit.png;Vedacit;1
votoran.png;Votoran;1
